Record_ID	Name	tax_class	family	genus	timestamp
163	ecv-circo.227-Geotrypetes_seraphini	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
164	ecv-circo.228-Geotrypetes_seraphini	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
165	ecv-circo.229-Microcaecilia_unicolor	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
166	ecv-circo.230-Microcaecilia_unicolor	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
167	ecv-circo.231-Microcaecilia_unicolor	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
168	ecv-circo.232-Microcaecilia_unicolor	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
169	ecv-circo.233-Guentherus_altivela	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
170	ecv-circo.234-Anabarilius_grahami	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
171	ecv-circo.235-Cirrhinus_molitorella	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
172	ecv-circo.236-Cyprinus_carpio	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
173	ecv-circo.237-Labeo_rohita	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
174	ecv-circo.238-Sinocyclocheilus_grahami	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
175	ecv-circo.239-Rondeletia_loricata	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
176	ecv-circo.241-Elgaria_multicarinata	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
177	ecv-circo.242-Elgaria_multicarinata	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
178	ecv-circo.243-Phylloscopus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
179	ecv-circo.244-Chrysochloris_asiatica	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
180	ecv-circo.245-Nannospalax_galili	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
181	ecv-circo.246-Rhizomys_pruinosus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
182	ecv-circo.247-Rhizomys_pruinosus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
183	ecv-circo.250-Anilios_bituberculatus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
184	ecv-circo.252-Chromis_chromis	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
185	ecv-circo.253-Paradoxurus_hermaphroditus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
186	ecv-circo.256-Shinisaurus_crocodilurus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
187	ecv-circo.257-Carnivora	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
188	ecv-circo.258-Salmo_salar	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
189	ecv-circo.259-Cyprinus_carpio	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
190	ecv-circo.260-Stylephorus_chordatus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
191	ecv-circo.261-Chromis_chromis	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
192	ecv-circo.262-Bregmaceros_cantori	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
193	ecv-circo.263-Labeo_rohita	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
194	ecv-circo.4-tinamou	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
195	ecv-circo.5-Gallirallus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
196	ecv-circo.50-Canid	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
197	ecv-circo.53-Mus_caroli	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
198	ecv-circo.56-manis-con	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
199	ecv-circo.57-Galeopterus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
200	ecv-circo.58-Crocidura	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
201	ecv-circo.59-Choloepus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
202	ecv-circo.60-microgale	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
203	ecv-circo.61-micropterus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
204	ecv-circo.62-Heterocephalus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
205	ecv-circo.63-pedetes	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
206	ecv-circo.7-Egretta	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
207	ecv-circo.90-Dasyuridae	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
208	ecv-circo.91-phascolarctos	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
209	ecv-circo.92-monodelphis	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
210	ecv-circo.102-Pelomedusidae-Podocnemididae	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
211	ecv-circo.107-Pionus_senilis	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
212	ecv-circo.108-Bungarus_multicinctus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
213	ecv-circo.150-Anura	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
214	ecv-circo.153-Geotrypetes_seraphini	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
215	ecv-circo.154-Anilios_bituberculatus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
216	ecv-circo.155-Geotrypetes_seraphini	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
217	ecv-circo.156-Chrysochloris_asiatica	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
218	ecv-circo.157-Ursidae	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
219	ecv-circo.158-Amphiprion	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
220	ecv-circo.159-Felidae	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
221	ecv-circo.160-Geotrypetes_seraphini	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
222	ecv-circo.162-Amphiprion_percula	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
223	ecv-circo.163-Geotrypetes_seraphini	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
224	ecv-circo.164-Geotrypetes_seraphini	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
225	ecv-circo.166-Cyprinus_carpio	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
226	ecv-circo.167-Solenodon_paradoxus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
227	ecv-circo.191-Anguilla	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
228	ecv-circo.192-Serpentes	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
229	ecv-circo.193-Python_bivittatus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
230	ecv-circo.194-Perca_fluviatilis	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
231	ecv-circo.195-Strigops_habroptilus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
232	ecv-circo.196-Anilios	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
233	ecv-circo.198-Amphiprion_percula	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
234	ecv-circo.201-Astyanax_mexicanus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
235	ecv-circo.202-Hylomyscus_alleni	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
236	ecv-circo.203-Dermochelys_coriacea	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
237	ecv-circo.204-chaenocephalus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
238	ecv-circo.205-parambassis-ranga	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
239	ecv-circo.240-Amphiprion	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
240	ecv-circo.251-Viperidae	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
241	ecv-circo.264-Colinus_virginianus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
242	ecv-circo.265-Cuora_mccordi	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
243	ecv-circo.266-Ailurus_fulgens	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
244	ecv-circo.267-Tachyglossus_aculeatus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
245	ecv-circo.51-Carnivora	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
246	ecv-circo.52-Chrysochloris	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
247	ecv-circo.64-Sanguinus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
248	ecv-circo.65-Galeopterus_variegatus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
249	ecv-circo.9-Serinus	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
250	ecv-cress.1-Eptatretus_burgeri	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
251	ecv-cress.2-Eptatretus_burgeri	DNAss	Circoviridae	Circovirus	2023-09-19 12:14:19
